date,total_pnl,avg_pnl,total_volume_usd,trades_count,sentiment
2023-03-28,0.0,0.0,477.0,3,1
2023-11-14,155.50335699999994,0.1488070401913875,11555429.76,1045,1
2024-03-09,176965.491774,25.418772159436944,39406770.25,6962,1
2024-07-03,173248.883828,24.41156598957306,21505667.61,7097,0
2024-10-27,1818914.700833,100.69279787605181,63512634.94,18064,1
2025-02-19,5242402.291777,67.33286613805903,440865436.1,77858,0
